condition,threshold,accuracy,f1,auroc,ap,fpr,fnr,n,mean_gate_spatial,mean_gate_forensic
clean,0.0852,0.976,0.9764,0.9984,0.9985,0.042,0.006,1000,0.6299,0.3701
jpeg_90,0.0852,0.974,0.9744,0.9985,0.9986,0.042,0.01,1000,0.6298,0.3702
jpeg_70,0.0852,0.975,0.9753,0.9986,0.9986,0.038,0.012,1000,0.6299,0.3701
jpeg_50,0.0852,0.976,0.9763,0.9983,0.9984,0.036,0.012,1000,0.629,0.371
jpeg_30,0.0852,0.978,0.9783,0.9985,0.9985,0.034,0.01,1000,0.6289,0.3711
blur_0.5,0.0852,0.978,0.9783,0.9985,0.9985,0.034,0.01,1000,0.6307,0.3693
blur_1.0,0.0852,0.979,0.9791,0.9984,0.9985,0.026,0.016,1000,0.6328,0.3672
blur_2.0,0.0852,0.981,0.981,0.9982,0.9984,0.02,0.018,1000,0.631,0.369
resize_0.5,0.0852,0.981,0.981,0.9984,0.9985,0.02,0.018,1000,0.633,0.367
resize_0.25,0.0852,0.979,0.9789,0.998,0.9982,0.018,0.024,1000,0.6254,0.3746
noise_0.02,0.0852,0.976,0.9764,0.9984,0.9985,0.04,0.008,1000,0.63,0.37
noise_0.05,0.0852,0.98,0.9801,0.9985,0.9985,0.026,0.014,1000,0.6288,0.3712
noise_0.10,0.0852,0.983,0.983,0.9984,0.9985,0.016,0.018,1000,0.6253,0.3747
color_jitter,0.0852,0.976,0.9763,0.9985,0.9985,0.038,0.01,1000,0.6268,0.3732
center_crop_0.8,0.0852,0.97,0.9699,0.9951,0.9954,0.028,0.032,1000,0.5863,0.4137
